Purchase-date,Customer ID,Title,Quantity,Item Price,Total_Amount,Profit (INR),Category_OLTP,Ship-City,Ship-State
2018-01-01T08:57:53+00:00,B07FWXWZT,Database System Concepts (Int'l Ed),1,999.0,1084.0,129.87,college,Hyderabad,Telangana
2018-01-02T02:04:01+00:00,B07FWVXXU,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,1,640.0,725.0,108.8,competition ,DHARMAPURI,TAMIL NADU
2018-01-03T05:08:38+00:00,B07FWVXZS,Objective Type Pharmacy,1,715.0,800.0,121.55,competition ,GUWAHATI,ASSAM
2018-01-04T16:06:31+00:00,B07FWYXVQ,A Text Book of Optics,1,565.0,650.0,73.45,college,Palani,TAMIL NADU
2018-01-04T20:12:20+00:00,B07FWXATQ,Surveying - Vol. 2,1,494.0,579.0,64.22,college,PATNA,BIHAR
2018-01-05T02:25:47+00:00,B07FWYYRZ,Political Theory,1,425.0,510.0,55.25,college,Dehradun,Uttarakhand
2018-01-05T02:59:18+00:00,B07FWYSTS,A Text Book of Optics,1,565.0,650.0,73.45,college,BHAWANIPATNA,ODISHA
2018-01-05T10:46:03+00:00,B07FWXVTV,A Text Book of Optics,1,565.0,650.0,73.45,college,Bongaigaon,ASSAM
2018-01-06T03:11:27+00:00,B07FWWTVV,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics,1,200.0,285.0,34.0,competition ,DIPKA,CHHATTISGARH
2018-01-06T05:30:58+00:00,B07FWXSXU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,THIRUVANANTHAPURAM,KERALA
2018-01-06T06:28:38+00:00,B07FWXSVW,A Textbook of Microbiology,1,543.0,628.0,70.59,college,MAUNATH BHANJAN,UTTAR PRADESH
2018-01-06T13:52:09+00:00,B07FWYXQQ,A Textbook of Microbiology,1,543.0,628.0,70.59,college,DHARMANAGAR,TRIPURA
2018-01-06T14:41:53+00:00,B07FWYXZX,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),1,645.0,730.0,83.85,college,BHUBANESWAR,ODISHA
2018-01-07T06:01:58+00:00,B07FWYVTZ,A Text Book of Optics,1,565.0,650.0,73.45,college,NAVI MUMBAI,MAHARASHTRA
2018-01-07T06:41:35+00:00,B07FWVYWQ,A Textbook of Microbiology,1,543.0,628.0,70.59,college,AJMER,RAJASTHAN
2018-01-07T16:22:53+00:00,B07FWYTRU,Database System Concepts (Int'l Ed),1,999.0,1084.0,129.87,college,SURAT,GUJARAT
2018-01-08T06:50:08+00:00,B07FWXWVY,Database System Concepts (Int'l Ed),1,999.0,1084.0,129.87,college,SHIMLA,HIMACHAL PRADESH
2018-01-08T10:42:50+00:00,B07FWXSZQ,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,NAGPUR,MAHARASHTRA
2018-01-08T10:44:06+00:00,B07FWYZWR,ESE 2020 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2,1,450.0,535.0,76.5,competition ,BENGALURU,KARNATAKA
2018-01-08T13:09:33+00:00,B07FWWWZU,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,1,640.0,725.0,108.8,competition ,BENGALURU,KARNATAKA
2018-01-08T15:02:24+00:00,B07FWVVTW,A Text Book of Optics,1,565.0,650.0,73.45,college,BENGALURU,KARNATAKA
2018-01-08T19:04:11+00:00,B07FWYWQV,ESE 2020 Mains Examination: Civil Engineering - Conventional Solved Papers - Paper - 1,1,690.0,775.0,117.3,competition ,NASHIK,MAHARASHTRA
2018-01-09T04:00:01+00:00,B07FWXVXV,Database System Concepts (Int'l Ed),1,999.0,1084.0,129.87,college,BENGALURU,KARNATAKA
2018-01-09T09:08:13+00:00,B07FWWUVR,Uchchatar Aarthik Siddhanth,1,485.0,570.0,63.05,college,NEW DELHI,DELHI
2018-01-09T11:30:13+00:00,B07FWXUQW,"Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4Â Â (Paperback, BD Chaurasia's)",1,1480.0,1565.0,192.4,college,ERODE,TAMIL NADU
2018-01-09T11:49:30+00:00,B07FWXSXX,"Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4Â Â (Paperback, BD Chaurasia's)",1,1480.0,1565.0,192.4,college,TIRUCHIRAPPALLI,TAMIL NADU
2018-01-09T12:45:52+00:00,B07FWWTSR,English Grammar for Today: A New Introduction,1,959.0,1044.0,172.62,School,MUMBAI,MAHARASHTRA
2018-01-10T08:06:27+00:00,B07FWWWVX,Chronicle Year Book 2020 (English),1,260.0,345.0,44.2,competition ,JORHAT,ASSAM
2018-01-10T09:37:22+00:00,B07FWVVTS,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,GURGAON,HARYANA
2018-01-10T10:20:08+00:00,B07FWXWYU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,SALEM,TAMIL NADU
2018-01-11T06:10:59+00:00,B07FWYTVQ,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics,1,200.0,285.0,34.0,competition ,ERNAKULAM,KERALA
2018-01-11T07:19:24+00:00,B07FWVWYU,Database Systems Concepts,1,910.0,995.0,118.3,college,HANUMANGARH,RAJASTHAN
2018-01-11T18:23:13+00:00,B07FWYYST,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,BILASPUR,CHHATTISGARH
2018-01-12T02:39:11+00:00,B07FWWBVW,Public Finance,1,465.0,550.0,60.45,college,secunderabad,Telangana
2018-01-12T04:30:42+00:00,B07FWWTSZ,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,PARATAPPUR,CHHATTISGARH
2018-01-12T05:26:05+00:00,B07FWWTWR,Database System Concepts (Int'l Ed),1,999.0,1084.0,129.87,college,KOTDWARA,UTTARAKHAND
2018-01-12T05:56:56+00:00,B07FWVYWZ,English Grammar for Today: A New Introduction,1,959.0,1044.0,172.62,School,NAVI MUMBAI,MAHARASHTRA
2018-01-12T07:09:35+00:00,B07FWWBQX,Political Theory,1,425.0,510.0,55.25,college,GREATER NOIDA,UTTAR PRADESH
2018-01-12T07:50:25+00:00,B07FWXYZS,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),1,645.0,730.0,83.85,college,MUMBAI,MAHARASHTRA
2018-01-12T07:57:57+00:00,B07FWVBUV,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,KHAMMAM,TELANGANA
2018-01-12T07:57:57+00:00,B07FWYUWS,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,1,615.0,700.0,104.55,competition ,KHAMMAM,TELANGANA
2018-01-12T09:45:02+00:00,B07FWYVTY,Public Finance,1,465.0,550.0,60.45,college,DEHRADUN,UTTARAKHAND
