Purchase_date,Customer_ID,Title,Item_Price,Total_Amount,Quantity,Category,Book_Age,Author,google_rating,google_ratings_count,google_page_count,google_categories,google_description
2018-01-01T08:57:53+00:00,B07FWXWZT,Database System Concepts (Int'l Ed),999.0,1084.0,1,college,5,Unknown Author,0.0,0,0,Unknown,
2018-01-02T02:04:01+00:00,B07FWVXXU,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,640.0,725.0,1,competition ,5,Unknown Author,0.0,0,0,Unknown,
2018-01-03T05:08:38+00:00,B07FWVXZS,Objective Type Pharmacy,715.0,800.0,1,competition ,5,Unknown Author,0.0,0,0,Unknown,
2018-01-04T16:06:31+00:00,B07FWYXVQ,A Text Book of Optics,565.0,650.0,1,college,71,J P C Southall,0.0,0,832,Unknown,
2018-01-04T20:12:20+00:00,B07FWXATQ,Surveying - Vol. 2,494.0,579.0,1,college,5,"MAHARASHTRA, INDIA (STATE).  GOVERNMENT",0.0,0,0,Unknown,
2018-01-05T02:25:47+00:00,B07FWYYRZ,Political Theory,425.0,510.0,1,college,88,George Holland Sabine,5.0,1,678,Political science,
2018-01-05T02:59:18+00:00,B07FWYSTS,A Text Book of Optics,565.0,650.0,1,college,71,J P C Southall,0.0,0,832,Unknown,
2018-01-05T10:46:03+00:00,B07FWXVTV,A Text Book of Optics,565.0,650.0,1,college,71,J P C Southall,0.0,0,832,Unknown,
2018-01-06T03:11:27+00:00,B07FWWTVV,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics,200.0,285.0,1,competition ,5,Unknown Author,0.0,0,0,Unknown,
2018-01-06T05:30:58+00:00,B07FWXSXU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,610.0,695.0,1,competition ,5,Unknown Author,0.0,0,0,Unknown,
2018-01-06T06:28:38+00:00,B07FWXSVW,A Textbook of Microbiology,543.0,628.0,1,college,25,Prof. R.C. Dubey,0.0,0,217,Study Aids,"""Fundamentals of Microbiology"" is an all-encompassing and approachable examination of the realm of microbes, which serves as the foundation for life on our planet. Featuring precise and lucid writing, this book is an indispensable resource for scholars, researchers, and individuals with a keen interest in elucidating the enigmas surrounding microorganisms. By deftly interlacing historical viewpoints, fundamental principles, and current scientific investigations, the text furnishes a comprehensive comprehension of microbiology. The book covers an extensive range of subjects, including the complexities of microbial structure and function as well as the profound effects that microorganisms have on human health, the environment, and industry. Obtaining an understanding of the functions that bacteria, viruses, fungi, and protozoa play in biotechnology, ecological processes, and disease, the reader will be taken on an enthralling voyage through their realm. The book effectively connects theoretical concepts with practical implementation through its abundance of captivating illustrations, insightful examples, and tangible real-world benefits. ""Fundamentals of Microbiology"" cultivates a profound understanding of the profound influence that microorganisms have on the course of our planet. Whether one is a healthcare professional, a student aspiring to enter the scientific field, or an inquisitive individual ardent to comprehend the imperceptible forces that surround us, this book serves as a valuable companion throughout the journey towards uncovering the marvels of microbiology."
2018-01-06T13:52:09+00:00,B07FWYXQQ,A Textbook of Microbiology,543.0,628.0,1,college,25,Prof. R.C. Dubey,0.0,0,217,Study Aids,"""Fundamentals of Microbiology"" is an all-encompassing and approachable examination of the realm of microbes, which serves as the foundation for life on our planet. Featuring precise and lucid writing, this book is an indispensable resource for scholars, researchers, and individuals with a keen interest in elucidating the enigmas surrounding microorganisms. By deftly interlacing historical viewpoints, fundamental principles, and current scientific investigations, the text furnishes a comprehensive comprehension of microbiology. The book covers an extensive range of subjects, including the complexities of microbial structure and function as well as the profound effects that microorganisms have on human health, the environment, and industry. Obtaining an understanding of the functions that bacteria, viruses, fungi, and protozoa play in biotechnology, ecological processes, and disease, the reader will be taken on an enthralling voyage through their realm. The book effectively connects theoretical concepts with practical implementation through its abundance of captivating illustrations, insightful examples, and tangible real-world benefits. ""Fundamentals of Microbiology"" cultivates a profound understanding of the profound influence that microorganisms have on the course of our planet. Whether one is a healthcare professional, a student aspiring to enter the scientific field, or an inquisitive individual ardent to comprehend the imperceptible forces that surround us, this book serves as a valuable companion throughout the journey towards uncovering the marvels of microbiology."
2018-01-06T14:41:53+00:00,B07FWYXZX,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),645.0,730.0,1,college,5,Unknown Author,0.0,0,0,Unknown,
2018-01-06T14:41:53+00:00,B07FWYXZX,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),645.0,730.0,1,college,5,Unknown Author,0.0,0,0,Unknown,
2018-01-06T14:41:53+00:00,B07FWYXZX,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),645.0,730.0,1,college,5,Unknown Author,0.0,0,0,Unknown,
2018-01-07T06:01:58+00:00,B07FWYVTZ,A Text Book of Optics,565.0,650.0,1,college,71,J P C Southall,0.0,0,832,Unknown,
2018-01-07T06:41:35+00:00,B07FWVYWQ,A Textbook of Microbiology,543.0,628.0,1,college,25,Prof. R.C. Dubey,0.0,0,217,Study Aids,"""Fundamentals of Microbiology"" is an all-encompassing and approachable examination of the realm of microbes, which serves as the foundation for life on our planet. Featuring precise and lucid writing, this book is an indispensable resource for scholars, researchers, and individuals with a keen interest in elucidating the enigmas surrounding microorganisms. By deftly interlacing historical viewpoints, fundamental principles, and current scientific investigations, the text furnishes a comprehensive comprehension of microbiology. The book covers an extensive range of subjects, including the complexities of microbial structure and function as well as the profound effects that microorganisms have on human health, the environment, and industry. Obtaining an understanding of the functions that bacteria, viruses, fungi, and protozoa play in biotechnology, ecological processes, and disease, the reader will be taken on an enthralling voyage through their realm. The book effectively connects theoretical concepts with practical implementation through its abundance of captivating illustrations, insightful examples, and tangible real-world benefits. ""Fundamentals of Microbiology"" cultivates a profound understanding of the profound influence that microorganisms have on the course of our planet. Whether one is a healthcare professional, a student aspiring to enter the scientific field, or an inquisitive individual ardent to comprehend the imperceptible forces that surround us, this book serves as a valuable companion throughout the journey towards uncovering the marvels of microbiology."
2018-01-07T16:22:53+00:00,B07FWYTRU,Database System Concepts (Int'l Ed),999.0,1084.0,1,college,5,Unknown Author,0.0,0,0,Unknown,
2018-01-08T06:50:08+00:00,B07FWXWVY,Database System Concepts (Int'l Ed),999.0,1084.0,1,college,5,Unknown Author,0.0,0,0,Unknown,
